City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Rikitea,PF,76.59,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Hithadhoo,MV,85.53,overcast clouds,-0.6,73.0833,Scoop Guest House
16,Saraland,US,81.32,few clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
24,Cozumel,MX,82.47,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
28,Piacabucu,BR,77.58,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
30,Atuona,PF,78.37,overcast clouds,-9.8,-139.0333,Villa Enata
40,Corralillo,CU,76.26,clear sky,22.9819,-80.5856,Hostal De Pedri
47,Carmen,MX,84.24,scattered clouds,18.6333,-91.8333,Hotel Lossandes
52,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
55,Lasem,ID,81.54,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
62,Bengkulu,ID,78.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,Samarai,PG,82.94,broken clouds,-10.6167,150.6667,Nuli Sapi
65,Sorong,ID,83.95,few clouds,-0.8833,131.25,Waigo Splash Hotel
67,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
70,Mogadishu,SO,81.7,moderate rain,2.0371,45.3438,Hotel Juba
72,Harper,LR,80.67,scattered clouds,4.375,-7.7169,Screensaver
79,Dicabisagan,PH,83.95,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
80,Lumphat,KH,77.99,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
85,Arraial Do Cabo,BR,75.54,clear sky,-22.9661,-42.0278,Pousada Porto Praia
87,Laguna,US,84.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
88,La Cruz,MX,76.82,broken clouds,23.9167,-106.9,Jesús angel
90,Santa Marta,CO,84.25,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
93,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
94,Houma,US,77.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
96,Butaritari,KI,81.37,light rain,3.0707,172.7902,Isles Sunset Lodge
99,Sinnamary,GF,77.79,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
101,San Andres,CO,77.02,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
102,Pemangkat,ID,82.22,overcast clouds,1.1667,108.9667,Ramah Kost KITA
103,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
105,Mareeba,AU,78.48,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
113,Rio Tuba,PH,83.07,overcast clouds,8.5061,117.4317,Jjas Pension House
114,Faanui,PF,81.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,Mitsamiouli,KM,80.56,clear sky,-11.3847,43.2844,Foyer ADM
119,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
120,Sola,VU,81.27,light intensity shower rain,-13.8833,167.55,Leumerus Bungalows
128,San Patricio,US,83.53,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
