,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,64.69,72,100,6.64,overcast clouds
1,Saint George,US,37.1041,-113.5841,74.62,14,0,27.63,clear sky
2,Kisangani,CD,0.5167,25.2,69.53,99,100,2.04,overcast clouds
3,Jamestown,US,42.097,-79.2353,55.02,93,100,13.8,overcast clouds
4,Khatanga,RU,71.9667,102.5,18.16,86,97,11.65,overcast clouds
5,Port Hardy,CA,50.6996,-127.4199,53.78,62,100,2.3,overcast clouds
6,Victoria,HK,22.2855,114.1577,63.25,92,100,5.99,light rain
7,Mataura,NZ,-46.1927,168.8643,63.48,55,26,5.37,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,76.59,70,100,6.2,overcast clouds
9,Nemuro,JP,43.3236,145.575,41.05,96,100,28.83,light rain
10,Cape Town,ZA,-33.9258,18.4232,60.12,83,0,5.01,clear sky
11,Kapaa,US,22.0752,-159.319,85.98,79,75,18.41,broken clouds
12,Hithadhoo,MV,-0.6,73.0833,85.53,72,100,17.67,overcast clouds
13,Hermanus,ZA,-34.4187,19.2345,58.8,85,27,9.37,scattered clouds
14,Busselton,AU,-33.65,115.3333,65.37,73,64,2.75,broken clouds
15,Esperance,AU,-33.8667,121.9,58.84,58,14,8.63,few clouds
16,Saraland,US,30.8207,-88.0706,81.32,64,16,5.99,few clouds
17,Ponta Do Sol,PT,32.6667,-17.1,65.03,74,0,4.12,clear sky
18,Clyde River,CA,70.4692,-68.5914,8.83,85,100,12.66,light snow
19,Barrow,US,71.2906,-156.7887,19.42,86,100,14.97,overcast clouds
20,Tiksi,RU,71.6872,128.8694,17.17,82,60,11.01,broken clouds
21,Longyearbyen,SJ,78.2186,15.6401,12.04,67,75,3.44,broken clouds
22,Talant,FR,47.3369,5.0089,43.41,81,0,6.91,clear sky
23,Goba,ET,7.0167,39.9833,50.11,86,81,3.65,broken clouds
24,Cozumel,MX,20.5083,-86.9458,82.47,88,40,10.36,scattered clouds
25,De-Kastri,RU,51.4667,140.7833,38.97,70,43,4.72,scattered clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,52.88,72,75,18.99,broken clouds
27,Hobart,AU,-42.8794,147.3294,65.26,62,75,12.66,broken clouds
28,Piacabucu,BR,-10.4056,-36.4344,77.58,73,40,7.61,scattered clouds
29,Qaanaaq,GL,77.484,-69.3632,6.3,68,19,6.46,few clouds
30,Atuona,PF,-9.8,-139.0333,78.37,81,100,13.0,overcast clouds
31,Ilulissat,GL,69.2167,-51.1,21.22,63,9,0.0,clear sky
32,Yellowknife,CA,62.456,-114.3525,45.12,49,0,12.66,clear sky
33,Hirara,JP,24.8,125.2833,67.86,88,75,19.57,broken clouds
34,Dikson,RU,73.5069,80.5464,10.45,94,100,11.34,overcast clouds
35,Bluff,NZ,-46.6,168.3333,63.81,74,34,11.77,scattered clouds
36,Grindavik,IS,63.8424,-22.4338,39.15,81,0,4.61,clear sky
37,Mount Gambier,AU,-37.8333,140.7667,60.71,88,100,12.66,overcast clouds
38,Chuy,UY,-33.6971,-53.4616,50.56,83,0,6.96,clear sky
39,Castro,BR,-24.7911,-50.0119,62.89,88,100,2.15,overcast clouds
40,Corralillo,CU,22.9819,-80.5856,76.26,80,0,13.42,clear sky
41,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,6.91,clear sky
42,Cherskiy,RU,68.75,161.3,29.48,86,48,10.71,scattered clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,72.41,89,59,4.76,broken clouds
44,Carnarvon,AU,-24.8667,113.6333,69.87,52,0,10.36,clear sky
45,Fairbanks,US,64.8378,-147.7164,56.08,34,0,5.75,clear sky
46,Talnakh,RU,69.4865,88.3972,20.21,94,100,7.65,light snow
